eName,isPlanet,semimajorAxis,perihelion,aphelion,eccentricity,inclination,density,gravity,escape,meanRadius,equaRadius,polarRadius,flattening,dimension,sideralOrbit,sideralRotation,discoveryDate,mass_kg,volume,orbit_type,orbits,bondAlbido,geomAlbido,RV_abs,p_transit,transit_visibility,transit_depth,massj,semimajorAxis_AU,grav_int
Skathi,FALSE,15614300,0,0,0.27,148.5,1,0,0,3,0,0,0,NA,728.2,0,23/09/2000,3.5E+14,NA,Secondary,Saturn,NA,NA,NA,0.04459662,8.027391558,1.86E-11,1.84E-13,0.104375149,1.90661E+14
Erriapus,FALSE,17611400,0,0,0.474,34.6,1,0,0,4,0,0,0,NA,871.2,0,23/09/2000,6.8E+14,NA,Secondary,Saturn,NA,NA,NA,0.039539503,7.117110508,3.30E-11,3.58E-13,0.117724938,2.91179E+14
Siarnaq,FALSE,18015400,0,0,0.295,45.6,1,0,0,16,0,0,0,NA,895.6,0,23/09/2000,4.35E+16,NA,Secondary,Saturn,NA,NA,NA,0.038653485,6.957627363,5.28E-10,2.29E-11,0.120425511,1.78008E+16
Thrymr,FALSE,20439600,0,0,0.47,175,1,0,0,3,0,0,0,NA,1094.3,0,23/09/2000,2.3E+14,NA,Secondary,Saturn,NA,NA,NA,0.034068426,6.132316679,1.86E-11,1.21E-13,0.136630287,7.31177E+13
Narvi,FALSE,19417300,0,0,0.431,145.8,1,0,0,3,0,0,0,NA,1003.9,0,5/2/03,2.3E+14,NA,Secondary,Saturn,NA,NA,NA,0.035862092,6.455176569,1.86E-11,1.21E-13,0.129796634,8.10195E+13
Methone,FALSE,194440,194421,194459,0,0,1,0,0,1.6,0,0,0,NA,1.01,0,1/6/04,2E+13,NA,Secondary,Saturn,NA,NA,NA,3.581277515,644.6299527,5.28E-12,1.05E-14,0.001299751,7.02584E+16
Pallene,FALSE,212280,0,0,0,0,1,0,0,33,0,0,0,5x4x4,1.14,0,1/6/04,6E+13,NA,Secondary,Saturn,NA,NA,NA,3.280455059,590.4819107,2.25E-09,3.16E-14,0.001419004,1.76837E+17
Polydeuces,FALSE,377200,0,0,0,0,1,0,0,2,0,0,0,3x2x2,2.74,0,21/10/2004,1E+13,NA,Secondary,Saturn,NA,NA,NA,1.846086957,332.2956522,8.25E-12,5.26E-15,0.002521426,9.3346E+15
Daphnis,FALSE,136500,0,0,0,0,0.34,0,0,33,0,0,0,9x8x6,0.594,0,1/5/09,1E+14,NA,Secondary,Saturn,NA,NA,NA,5.101648352,918.2967033,2.25E-09,5.26E-14,9.12E-04,7.13E+17
Aegir,FALSE,20749800,0,0,0.252,166.7,1,0,0,3,0,0,0,NA,1116.5,0,12/12/04,1.5E+14,NA,Secondary,Saturn,NA,NA,NA,0.033559119,6.040641356,1.86E-11,7.89E-14,0.138703846,4.62703E+13
Bebhionn,FALSE,17117800,0,0,0.469,35,1,0,0,3,0,0,0,NA,834.8,0,12/12/04,1.5E+14,NA,Secondary,Saturn,NA,NA,NA,0.040679585,7.322325299,1.86E-11,7.89E-14,0.114425425,6.79884E+13
